task_id,formula,n_atoms,converged,volume_A3,energy_eV,delta_h_f_eV_per_atom,lld_rmsd_A,lld_mean_abs_disp_A,lld_local_strain_mean,C11_GPa,C12_GPa,C44_GPa,elastic_B_GPa,elastic_G_GPa,elastic_E_GPa,elastic_nu,eos_n_fits_ok,eos_n_fits,eos_B_GPa__anton-schmidt,eos_B_GPa__birch,eos_B_GPa__birchmurnaghan,eos_B_GPa__murnaghan,eos_B_GPa__p3,eos_B_GPa__pouriertarantola,eos_B_GPa__sj,eos_B_GPa__taylor,eos_B_GPa__vinet,eos_V0_A3__anton-schmidt,eos_V0_A3__birch,eos_V0_A3__birchmurnaghan,eos_V0_A3__murnaghan,eos_V0_A3__p3,eos_V0_A3__pouriertarantola,eos_V0_A3__sj,eos_V0_A3__taylor,eos_V0_A3__vinet,has_cell_opt,has_elastic,has_eos,has_post
tile_00__sqs_000,Hf22N108Nb21Ta21Ti22Zr22,216,True,2397.927415931653,-2244.232701301204,-1.4242421767624496,0.10709679093278882,0.09865106437326895,0.043996083395173385,532.9615751733428,134.83739812702456,113.79766931754565,267.54545714246393,142.61474883404426,363.29325211863323,0.273687522113806,9,9,285.47940928112547,285.4390784612724,285.4390784916364,284.979141202677,288.4900394489595,285.9830967360868,285.59863657707433,288.4900386364984,285.6457494500502,2398.1172205192543,2398.1180426344245,2398.1180426393666,2398.1286178591668,2398.0973021350114,2398.1092403821685,2398.114853839241,2398.0973052301597,2398.113842105423,True,True,True,True
tile_00__sqs_001,Hf22N108Nb21Ta21Ti22Zr22,216,True,2398.1788088116245,-2244.374257735839,-1.4248975306264988,0.10827757543498441,0.09976942766011572,0.04449484744548344,544.6314766972431,140.59163105507963,111.4332279381943,275.27157960246745,141.7282101388044,362.9024787940178,0.28027609478240717,9,9,285.9506855405862,285.9102954150751,285.9102950913022,285.44903162007375,288.968062454072,286.45604816911674,286.0705332234126,288.9680638641906,286.11742044659366,2398.30501286797,2398.3058257030184,2398.3058252304404,2398.3163363905282,2398.285635701615,2398.2970890430147,2398.302643078039,2398.28563486176,2398.3016626193803,True,True,True,True
tile_00__sqs_002,Hf22N108Nb21Ta21Ti22Zr22,216,True,2398.852585795383,-2244.0416682971927,-1.4233577647068412,0.10703980283051319,0.09985927628107252,0.0445349178435645,539.6430689187564,133.6471339879444,108.68226116494496,268.97911229821506,139.94975859469852,357.79562115933,0.2783002441452004,9,9,285.6520482736161,285.6117272018291,285.6117267577529,285.1504934374867,288.6696619892223,286.15795167352246,285.77230538637644,288.6696617693413,285.8187055869222,2399.091434291354,2399.092262099442,2399.092261558993,2399.102999756884,2399.0707644266645,2399.083253549896,2399.088986086198,2399.070764641061,2399.0880089732427,True,True,True,True
tile_00__sqs_003,Hf22N108Nb21Ta21Ti22Zr22,216,True,2400.0804911462787,-2244.1555382492506,-1.4238849404108134,0.1119423766364541,0.10362612426692638,0.04621484455469963,549.5639761206714,134.85272792518958,113.18391048560467,273.08981065701687,144.58106197619014,368.68013845357325,0.27499457195261207,9,9,285.2126842471959,285.1723604279606,285.1723608359286,284.71308518094156,288.2169251488559,285.7149874662073,285.3313477299262,288.21692227322814,285.37881619844796,2400.0658351443035,2400.0666291579246,2400.066629838807,2400.076838457694,2400.048159392681,2400.058266796325,2400.0635817505367,2400.048163028622,2400.062580227319,True,True,True,True
tile_00__sqs_004,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.4190812755314,-2243.521264634501,-1.4209484884906765,0.1037695485259543,0.09300824597707408,0.0414795174531836,533.6710878304065,139.44594371658746,99.81101093183084,270.85432508786045,131.54978274731081,339.6601156719018,0.2909945899505685,9,9,285.3461720356103,285.30586733336605,285.30586739749884,284.84490751973215,288.35832244546293,285.8512777628171,285.4661810478913,288.358313757345,285.5126938877698,2399.401922889264,2399.4027143491053,2399.402714409373,2399.4130110653823,2399.384013557121,2399.3942380373583,2399.3996052146886,2399.384026548005,2399.3986513940827,True,True,True,True
tile_00__sqs_005,Hf22N108Nb21Ta21Ti22Zr22,216,True,2398.840672828505,-2244.12234459172,-1.4237312660703925,0.11315043035267612,0.1049170717422702,0.046790577144559115,540.6935074308345,139.6339782234307,111.64323362044948,273.32048795923197,141.45093301427494,361.91851013010194,0.2793076101292944,9,9,285.5758955638309,285.5355654690515,285.5355656557732,285.0742901970551,288.5910194750874,286.08146999547057,285.6960309997026,288.5910200914026,285.7425402875212,2398.890524416497,2398.8913261414996,2398.8913265763463,2398.9017289984636,2398.8719488266524,2398.88272788673,2398.8881815499067,2398.8719476310453,2398.887215140857,True,True,True,True
tile_00__sqs_006,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.536720987536,-2244.0850287107755,-1.4235585073623174,0.1054138505857555,0.09568020188666404,0.042671147728775456,536.2198227586524,132.8205099431718,115.91556063867132,267.28694754833197,144.9535532235967,368.2852061801286,0.2703559105309886,9,9,285.497042503716,285.45667151893554,285.4566715192176,284.99673739822,288.50395608635466,285.9999611223379,285.6158807862859,288.5039536472601,285.66338320661833,2399.4115510568104,2399.4123304930063,2399.41233049607,2399.422396747831,2399.394888684163,2399.404118039631,2399.4093136137076,2399.3948901266886,2399.4083542732205,True,True,True,True
tile_00__sqs_007,Hf22N108Nb21Ta21Ti22Zr22,216,True,2398.93819981073,-2243.8863435057256,-1.4226386684500483,0.10501901593641717,0.09635869906523994,0.042973741711330636,555.7228427607295,135.79535720688168,110.84574705616068,275.77118572483096,143.57097982065903,367.02062963142,0.2781852923546315,9,9,285.57306810465946,285.53276904648664,285.53276890478986,285.07125722099886,288.5913527114242,286.07947882889914,285.6936263071275,288.59133530776495,285.73976203755313,2399.1714832600833,2399.172310823268,2399.172310821653,2399.1830113458836,2399.150995333462,2399.163370013358,2399.169065844209,2399.151025716593,2399.168067873164,True,True,True,True
tile_00__sqs_008,Hf22N108Nb21Ta21Ti22Zr22,216,True,2400.3618141705174,-2244.219525742741,-1.4241811788066023,0.10421161468914653,0.09489123435275913,0.042319286533579165,537.9318100569897,138.80419247895028,111.92556545805326,271.8467316716301,141.3783842613001,361.4719921894392,0.2783849316079146,9,9,285.4050778028441,285.36476750133227,285.364767607334,284.90447767861855,288.4166536502877,285.9093817953683,285.5246540947994,288.4166259142942,285.5714730429001,2400.529651867157,2400.530472250252,2400.530472675474,2400.5410196611933,2400.5099347860187,2400.5217098304,2400.527293983733,2400.509984674179,2400.526282417076,True,True,True,True
tile_01__sqs_000,Hf22N108Nb21Ta21Ti22Zr22,216,True,2397.5908652694006,-2244.278835512623,-1.424455761074574,0.10547276574050811,0.09615180162598413,0.04288147025891829,551.4700644588954,136.0988826661533,113.71047848836245,274.555943263734,145.07015096040067,370.03695152840504,0.2753724631795995,9,9,285.7451167471398,285.70480499242336,285.7048050722471,285.2421529214882,288.7674432278553,286.25302718105337,285.8663587330008,288.76746346973954,285.9120900455234,2397.712495401067,2397.7133072540046,2397.71330721534,2397.7238215647317,2397.6933034487574,2397.704600672887,2397.710133950277,2397.693267270184,2397.70914736287,True,True,True,True
